"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
47	5.228951998454505e-01	-8.465769206776555e-02	1.292175616519067e+00	1.323772842419866e+01	1.385524938017535e+00	2.533617433904997e+05	1.013172773784628e+05	2.731444084706049e+02	-1.260806598485157e-01	3.108943130075911e-02	
48	5.068510956812466e-01	-8.628429719812407e-02	1.292172937645782e+00	1.328344042733767e+01	1.301947145575088e+00	2.533613270192291e+05	1.013169578953102e+05	2.731441134346013e+02	-1.312965889849244e-01	3.117606038957411e-02	
49	4.907797668142289e-01	-8.780539986577121e-02	1.292169524959938e+00	1.332371127453702e+01	1.215233135318209e+00	2.533607519660644e+05	1.013165957415005e+05	2.731438584758283e+02	-1.372091655730582e-01	3.125072658367434e-02	
50	4.747121407394899e-01	-8.921514834723060e-02	1.292167159384933e+00	1.336101627422458e+01	1.124505157250312e+00	2.533603744790471e+05	1.013163234741919e+05	2.731436245025254e+02	-1.416542418670920e-01	3.131909043774998e-02	
51	4.586588145934677e-01	-9.050888203333314e-02	1.292164483282519e+00	1.339280652249944e+01	1.030292952884134e+00	2.533599211745812e+05	1.013160418749675e+05	2.731434310105905e+02	-1.462516723971054e-01	3.137551544644183e-02	
52	4.426305066805470e-01	-9.168276948786618e-02	1.292162437397416e+00	1.342101607797035e+01	9.314751300179102e-01	2.533595820144911e+05	1.013158190958719e+05	2.731432628762586e+02	-1.498887968150906e-01	3.142444875398562e-02	
53	4.266582386157968e-01	-9.273027782302294e-02	1.292160554833961e+00	1.344433098769714e+01	8.287352339910996e-01	2.533592619472605e+05	1.013156220708976e+05	2.731431296498295e+02	-1.531054556463979e-01	3.146315493166543e-02	
54	4.107426167426590e-01	-9.364830206652247e-02	1.292159306311252e+00	1.346256019416249e+01	7.212853504366057e-01	2.533590527698971e+05	1.013154882332195e+05	2.731430327471101e+02	-1.552905093465161e-01	3.149126596068096e-02	
55	3.949047005048369e-01	-9.443206750810820e-02	1.292158299510505e+00	1.347608094690609e+01	6.101977891582498e-01	2.533588791076853e+05	1.013153852645277e+05	2.731429679695748e+02	-1.569715914178769e-01	3.151002807269727e-02	
56	3.791656006349831e-01	-9.507839298562003e-02	1.292157973804674e+00	1.348331615178137e+01	4.949050603192078e-01	2.533588225415952e+05	1.013153521606873e+05	2.731429475720465e+02	-1.575120496056303e-01	3.151589326854680e-02	
57	3.635465142508375e-01	-9.558375176000437e-02	1.292157490593098e+00	1.348619982796581e+01	3.757884072926615e-01	2.533587247443619e+05	1.013153170466717e+05	2.731429550495160e+02	-1.580853262106276e-01	3.151365891642933e-02	
