"Global_Index", "x_coord", "y_coord", "Pressure", "C<sub>p</sub>", "Mach"
161, 6.799305664847791e-01, 6.826697242270996e-02, 1.012990678364067e+05, -4.233723330076665e-01, 3.476891470311939e-02
162, 6.947354442677087e-01, 6.594162290129102e-02, 1.013004917957896e+05, -4.001245618023827e-01, 3.448252138279404e-02
163, 7.093391057674584e-01, 6.357179968298621e-02, 1.013018700655339e+05, -3.776227263871824e-01, 3.419962558301782e-02
164, 7.237110299364495e-01, 6.116440609835256e-02, 1.013031997250236e+05, -3.559145091673426e-01, 3.391108147433022e-02
165, 7.378517163309041e-01, 5.872489089026021e-02, 1.013046110427254e+05, -3.328731279160019e-01, 3.362409190206370e-02
166, 7.517512266883715e-01, 5.625937676743879e-02, 1.013059534781228e+05, -3.109563293407552e-01, 3.333349539347583e-02
167, 7.653794975910972e-01, 5.377656646839617e-02, 1.013073047852178e+05, -2.888946901193878e-01, 3.304321100113806e-02
168, 7.787270271107355e-01, 5.128357111125872e-02, 1.013086764005411e+05, -2.665014957633178e-01, 3.275055038801424e-02
169, 7.917940185069186e-01, 4.878391970617554e-02, 1.013100045444907e+05, -2.448180214750804e-01, 3.245852942227540e-02
170, 8.045607884862845e-01, 4.628608747454006e-02, 1.013113732820489e+05, -2.224718099375920e-01, 3.216404993186325e-02
171, 8.170176753020976e-01, 4.379577263933431e-02, 1.013127005798600e+05, -2.008021498305381e-01, 3.186983992001066e-02
172, 8.291349237012859e-01, 4.132296598486834e-02, 1.013140263757365e+05, -1.791570105308342e-01, 3.157260056869063e-02
173, 8.409229316233002e-01, 3.886918407688322e-02, 1.013153797788778e+05, -1.570611509477374e-01, 3.127449134313087e-02
174, 8.523724095650728e-01, 3.644183120911974e-02, 1.013167288857904e+05, -1.350354322300900e-01, 3.097295188543828e-02
175, 8.634433947882508e-01, 3.405180696667370e-02, 1.013180356649932e+05, -1.137007619542324e-01, 3.066693833177133e-02
176, 8.741566010105262e-01, 3.169928265988517e-02, 1.013193831716580e+05, -9.170116911675125e-02, 3.035587352505395e-02
177, 8.844924423759329e-01, 2.939215353150579e-02, 1.013207322000381e+05, -6.967673253317552e-02, 3.004084572744027e-02
178, 8.944311332683489e-01, 2.713795387343120e-02, 1.013220359668660e+05, -4.839124273442129e-02, 2.971952584929278e-02
179, 9.039732150783951e-01, 2.494013551396140e-02, 1.013234049063478e+05, -2.604173456173393e-02, 2.939186007953860e-02
180, 9.131093632657764e-01, 2.280537670410095e-02, 1.013247653158609e+05, -3.831487918243333e-03, 2.905920571655998e-02
181, 9.218199341225418e-01, 2.074113495602596e-02, 1.013261126468247e+05, 1.816523639728349e-02, 2.872071806766046e-02
182, 9.301152781898571e-01, 1.874788354274230e-02, 1.013274671598511e+05, 4.027921612814200e-02, 2.837572256903202e-02
183, 9.379658451530569e-01, 1.683589095788771e-02, 1.013288471403988e+05, 6.280898237365594e-02, 2.802367309051006e-02
184, 9.453821706787595e-01, 1.500601075893035e-02, 1.013302642359143e+05, 8.594469306552531e-02, 2.766476790401241e-02
185, 9.523545317148276e-01, 1.326297153661135e-02, 1.013316253483462e+05, 1.081664156648989e-01, 2.729592022110370e-02
186, 9.588730838823595e-01, 1.161099886274773e-02, 1.013330806493979e+05, 1.319258755822853e-01, 2.691563250680893e-02
187, 9.649286091131484e-01, 1.005650231633854e-02, 1.013345280008934e+05, 1.555555498717957e-01, 2.652246625421170e-02
188, 9.705211087468039e-01, 8.600747300377045e-03, 1.013360010185393e+05, 1.796042535245044e-01, 2.611424984296828e-02
189, 9.756313637310864e-01, 7.252530293163447e-03, 1.013375496043640e+05, 2.048866944242959e-01, 2.568821225645491e-02
190, 9.802792578901026e-01, 6.007276711430165e-03, 1.013390820167142e+05, 2.299050847914425e-01, 2.523973897313758e-02
191, 9.844350906262987e-01, 4.874645239941205e-03, 1.013406361900518e+05, 2.552787482519389e-01, 2.476257444114048e-02
192, 9.881188726482991e-01, 3.850815125632299e-03, 1.013425365756174e+05, 2.863047236840571e-01, 2.425203380416000e-02
193, 9.913014859033032e-01, 2.946794973924682e-03, 1.013440736395686e+05, 3.113990567748162e-01, 2.369809433298059e-02
194, 9.940020657340620e-01, 2.156641247651211e-03, 1.013470212768331e+05, 3.595226181213185e-01, 2.304671112011145e-02
195, 9.962124563554987e-01, 1.487028993406241e-03, 1.013471687868198e+05, 3.619308879510973e-01, 2.217387442986554e-02
196, 9.979173078366920e-01, 9.347539099405825e-04, 1.013509653961432e+05, 4.239148925258482e-01, 2.092398053609660e-02
197, 9.991309375595556e-01, 5.201119849474681e-04, 1.013736778099491e+05, 7.947211149459170e-01, 1.932170221446442e-02
198, 9.998205957386592e-01, 1.864154303036036e-04, 1.013305394010874e+05, 9.043708032337916e-02, 1.618373011872295e-02
65, 2.445535859082597e-01, -9.423211247215790e-02, 1.013175377967473e+05, -1.218290324722816e-01, 3.097954227853068e-02
66, 2.306701581725355e-01, -9.336101734421118e-02, 1.013182458246366e+05, -1.102696645751242e-01, 3.082883115075737e-02
67, 2.170603212717919e-01, -9.233155164473185e-02, 1.013189059231478e+05, -9.949279878416355e-02, 3.065388782076523e-02
68, 2.037357955993082e-01, -9.114282094254908e-02, 1.013198171536583e+05, -8.461591488197273e-02, 3.045384018344599e-02
69, 1.907184723441442e-01, -8.979622883906385e-02, 1.013207132304406e+05, -6.998643298279937e-02, 3.022390112613599e-02
